Date;cpi
janv-90;4,2
févr-90;4
mars-90;4
avr-90;3,9
mai-90;4
juin-90;4
juil-90;3,9
août-90;3,8
sept-90;4
oct-90;4
nov-90;4
déc-90;4,1
janv-91;4,2
févr-91;4,3
mars-91;4,1
avr-91;4
mai-91;3,6
juin-91;3,7
juil-91;3,4
août-91;3,3
sept-91;3
oct-91;2,4
nov-91;2,2
déc-91;2
janv-92;1,7
févr-92;1,4
mars-92;1,3
avr-92;1,2
mai-92;1,1
juin-92;0,8
juil-92;1,2
août-92;1,2
sept-92;1,3
oct-92;1,5
nov-92;1,6
déc-92;1,8
janv-93;1,8
févr-93;1,9
mars-93;1,7
avr-93;1,8
mai-93;1,6
juin-93;1,7
juil-93;1,4
août-93;1,3
sept-93;1,5
oct-93;1,6
nov-93;1,4
déc-93;1,5
janv-94;1,2
févr-94;1,3
mars-94;1,3
avr-94;1,1
mai-94;0,9
juin-94;0,9
juil-94;0,9
août-94;0,8
sept-94;0,8
oct-94;0,6
nov-94;0,8
déc-94;0,9
janv-95;1,2
févr-95;1,2
mars-95;1,5
avr-95;1,5
mai-95;1,9
juin-95;1,9
juil-95;2
août-95;2
sept-95;1,9
oct-95;2
nov-95;1,8
déc-95;1,5
janv-96;1,3
févr-96;1,2
mars-96;1,2
avr-96;1,3
mai-96;1,3
juin-96;1,3
juil-96;1,2
août-96;1,2
sept-96;1,3
oct-96;1,4
nov-96;1,5
déc-96;1,6
janv-97;1,6
févr-97;1,6
mars-97;1,6
avr-97;1,6
mai-97;1,5
juin-97;1,6
juil-97;1,5
août-97;1,5
sept-97;1,4
oct-97;1,4
nov-97;1,2
déc-97;1,2
janv-98;1,4
févr-98;1,6
mars-98;1,4
avr-98;1,5
mai-98;1,6
juin-98;1,6
juil-98;1,7
août-98;1,7
sept-98;1,8
oct-98;1,8
nov-98;2
déc-98;1,9
janv-99;2
févr-99;1,8
mars-99;1,8
avr-99;2
mai-99;2
juin-99;2
juil-99;1,9
août-99;1,9
sept-99;1,9
oct-99;1,9
nov-99;1,8
déc-99;1,8
janv-00;1,4
févr-00;1,8
mars-00;1,8
avr-00;1,5
mai-00;1,6
juin-00;1,6
juil-00;1,8
août-00;1,9
sept-00;1,8
oct-00;1,8
nov-00;2
déc-00;2,1
janv-01;2,3
févr-01;2,3
mars-01;2,3
avr-01;2,4
mai-01;2,4
juin-01;2,5
juil-01;2,5
août-01;2,5
sept-01;2,5
oct-01;2,5
nov-01;2,3
déc-01;2,4
janv-02;2,3
févr-02;2,3
mars-02;2,3
avr-02;2,4
mai-02;2,2
juin-02;2,2
juil-02;2,2
août-02;2,3
sept-02;2,2
oct-02;2
nov-02;2,3
déc-02;2,1
janv-03;2,3
févr-03;2,2
mars-03;2,2
avr-03;1,9
mai-03;1,9
juin-03;1,9
juil-03;1,8
août-03;1,8
sept-03;1,9
oct-03;1,9
nov-03;1,7
déc-03;1,9
janv-04;1,6
févr-04;1,6
mars-04;1,7
avr-04;1,9
mai-04;1,8
juin-04;1,9
juil-04;1,8
août-04;1,8
sept-04;1,7
oct-04;1,8
nov-04;1,9
déc-04;1,9
janv-05;1,9
févr-05;1,9
mars-05;1,9
avr-05;2
mai-05;1,9
juin-05;2
juil-05;2
août-05;2,1
sept-05;2,1
oct-05;1,9
nov-05;1,9
déc-05;1,9
janv-06;2,1
févr-06;2
mars-06;1,9
avr-06;1,8
mai-06;1,9
juin-06;1,7
juil-06;1,9
août-06;2
sept-06;2,1
oct-06;2,2
nov-06;2,3
déc-06;2,1
janv-07;2,1
févr-07;2,4
mars-07;2,4
avr-07;2,5
mai-07;2,4
juin-07;2,5
juil-07;2,4
août-07;2,3
sept-07;2,2
oct-07;2
nov-07;1,9
déc-07;1,9
janv-08;2
févr-08;1,9
mars-08;1,8
avr-08;1,9
mai-08;2
juin-08;2,2
juil-08;2,2
août-08;2,4
sept-08;2,7
oct-08;2,7
nov-08;3,1
déc-08;3,1
janv-09;3
févr-09;3,1
mars-09;3,2
avr-09;3,1
mai-09;3,3
juin-09;3,2
juil-09;2,9
août-09;2,6
sept-09;2,5
oct-09;2,5
nov-09;2,1
déc-09;1,9
janv-10;1,8
févr-10;1,8
mars-10;1,5
avr-10;1,4
mai-10;1,1
juin-10;1,1
juil-10;1,1
août-10;1,2
sept-10;0,9
oct-10;1,1
nov-10;1
déc-10;1,2
janv-11;1,2
févr-11;1,1
mars-11;1,7
avr-11;1,6
mai-11;1,9
juin-11;1,8
juil-11;1,9
août-11;2
sept-11;2,1
oct-11;2
nov-11;2,1
déc-11;2
janv-12;2
févr-12;2,1
mars-12;1,7
avr-12;2
mai-12;1,8
juin-12;1,8
juil-12;1,7
août-12;1,7
sept-12;1,5
oct-12;1,6
nov-12;1,6
déc-12;1,5
janv-13;1,4
févr-13;1,5
mars-13;1,5
avr-13;1,3
mai-13;1,2
juin-13;1,2
juil-13;1,3
août-13;1,2
sept-13;1,3
oct-13;1,2
nov-13;1
déc-13;1,2
janv-14;1,3
févr-14;1,3
mars-14;1,4
avr-14;1,4
mai-14;1,4
juin-14;1,5
juil-14;1,5
août-14;1,5
sept-14;1,5
oct-14;1,5
nov-14;1,8
déc-14;1,7
janv-15;1,9
févr-15;1,7
mars-15;1,7
avr-15;1,7
mai-15;1,9
juin-15;1,9
juil-15;1,9
août-15;2
sept-15;2
oct-15;2,1
nov-15;2,1
déc-15;2
janv-16;2,1
févr-16;2
mars-16;2
avr-16;2
mai-16;1,9
juin-16;1,8
juil-16;1,7
août-16;1,7
sept-16;1,5
oct-16;1,4
nov-16;1,2
déc-16;1,3
janv-17;1,2
févr-17;1,2
mars-17;1,1
avr-17;1,1
mai-17;1
juin-17;1,1
juil-17;1,2
août-17;1,2
sept-17;1,3
oct-17;1,3
nov-17;1,4
déc-17;1,6
janv-18;1,6
févr-18;1,7
mars-18;1,7
avr-18;1,8
mai-18;1,7
juin-18;1,8
juil-18;1,9
août-18;1,9
sept-18;1,7
oct-18;1,8
nov-18;1,8
déc-18;1,7
janv-19;1,8
févr-19;1,9
mars-19;2
avr-19;2
mai-19;2,1
juin-19;2,1
juil-19;2,2
août-19;2,1
sept-19;2,4
oct-19;2,3
nov-19;2,4
déc-19;2,4
janv-20;2,3
févr-20;2
mars-20;1,7
avr-20;1,7
mai-20;1,4
juin-20;1,5
juil-20;1,3
août-20;1,5
sept-20;1,4
oct-20;1,6
nov-20;1,7
déc-20;1,6
janv-21;1,6
févr-21;1,6
mars-21;2
avr-21;2,1
mai-21;2,5
juin-21;2,5
juil-21;2,7
août-21;2,9
sept-21;3,1
oct-21;3
nov-21;3,1
déc-21;3,2
janv-22;3,7
févr-22;4,1
mars-22;4,5
avr-22;4,9
mai-22;5,4
juin-22;5,6
juil-22;5,8
août-22;5,8
sept-22;5,9
oct-22;5,9
nov-22;6,2
déc-22;6,1
janv-23;6,1
févr-23;6
mars-23;5,7
avr-23;5,6
mai-23;5,2
juin-23;5,1
juil-23;4,8
août-23;4,8
sept-23;4,4
oct-23;4,2
nov-23;3,9
déc-23;3,9
